PUBLIC_RECORD_ID,FACULTY,DEGREE_PROGRAM,CURRICULUM_YEAR,GENDER,AGE,MARITAL_STATUS,ETHNICITY,DISABILITY,INSTITUTION_TYPE,NATIONALITY_COUNTRY,TRANSFER_STUDENT_FLAG,PAYMENT_PLAN,ONLINE_ADMISSION_TYPE,PAYMENT_DEFERRAL_TYPE,SCHOLARSHIP_NAME,TARGET_RISK,REGION
121,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,32,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
122,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,46,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
123,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
124,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,33,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Others/Abroad
125,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,39,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
126,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
127,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
128,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
129,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,59,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
130,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,53,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
131,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,45,Cohabiting,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
132,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
133,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
134,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
135,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,39,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
136,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,31,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
137,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Amazon Region
138,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
139,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,47,Cohabiting,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
140,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,45,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
141,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,32,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Amazon Region
142,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Amazon Region
